Questions,Answer
"Q: 

 What is Love? - 12 July 2012 - QA 3
","
Sri Sri Ravi Shankar:
The basis of all existence. All the cells in your body love each other, that is why they are together. The day they stop loving each other, it all disintegrates. Got it?
If there is one substances by which everything is held together and you want to give it a name, you can call it love. It is the basis of all existence. All the cells in your body love each other, that is why they are together. The day they stop loving each other, it all disintegrates.
Love is not all wiggly wiggly and mushy mushy, ""Oh I can’t live without you, I love you so much"", and so on. It is not that. That is just an emotional something. Love means (silence)… that is it.
Love is indescribable. You can’t describe it. And there is not a creature on this planet who doesn’t know it. From the insect to the lion, from a chicken to an enlightened person, everybody has experienced love. Love for life is what we think it is, but life itself is love. So see, through this knowledge, that the whole universe is love.
Love is not just an emotion, it is your very existence. The earth loves the sun, that is why it keeps going around the sun. The moon loves the earth, that is why the moon goes around the earth. Wherever there is a force, or there is energy, or a pull, or attraction, you call it love. And where there is repulsion that is also love in the opposite direction.
Why are you are drawn to somebody or something? It is because you love them. You see a cheesecake and you are drawn to it; you experience a pull, isn't it? You see a beautiful girl, or a girl sees a beautiful boy, there is a pull, and what do you call that? You call it love! Why? Because there is a pull, there is an attraction, there is a force. And that force is what manages the whole universe
Some places it is more obvious and some other places it is not obvious. The day the earth stops loving you, you will start flying. The earth loves you so much that the gravitational force keeps you glued to the earth. So love is that force in human life.
All the negative emotions are just a distorted form of love. In anger there is love. Ask me how? You love perfection and that is why you get angry. Greed is love. Greed is when you love something much more than life. When you love objects more than life, it is called greed. Hatred is love upside down. Fear is love upside down.
"
"Q: 

 I think I am addicted to sex. I have no self-control when it comes to sex. I try very hard, but I can’t control myself.
","
Sri Sri Ravi Shankar:
I think you have too much free time. If you are busy and you work hard, then you will get so tired that you will be waiting to hit the pillow. The moment you hit the pillow you will fall asleep. You either have too much free time or you are eating too much food; then obsessions and addictions come up. Too much food and sex are related. So, keep a watch on your food, keep a watch on your company and keep yourself very busy, especially at the age when the hormones play havoc. If you follow the language of moderation then you will be all right.   When you have a goal, or something to achieve, then you do not think about sex. Just ask any student, during exam time are they bombarded with thoughts of sex? They’ll say no. For that whole month when they have to achieve something, their mind is fully focused on it. They have a bundle of books to read and to prepare. So engaging yourself in some creative activity is helpful.  Pleasure always makes you run towards it first, and then later on makes you run away from it. This is its nature. First you crave for it and you go towards it, and then later on you go away from it because it becomes too much to handle. Yoga is that which makes you centered, it stabilizes you. When you are stable and centered, if pleasure is there, you enjoy it, if it’s not there, you don’t mind it. It does not occupy your mind. It’s not a craving that bothers you.
"
"Q: 

 Is it okay to see someone's beauty? Is it not lust to look at someone's beauty?
","
Sri Sri Ravi Shankar:
If you see some beauty and you want to possess it, then it is lust. You see beautiful things in the world, and every beautiful thing should remind you of the divinity. Then the beauty itself becomes a prayer. A great saint from India wrote some beautiful verses in Sanskrit called Soundarya Lahari. In that he says thateverything he sees reminds him of the Divine. The waves of beauty, it all reminds him of the divinity.
"
"Q: 

 How do I know if I am deeply in love with a person or if it is just an attraction?
","
Sri Sri Ravi Shankar:
Time will tell. Always know that there is a sense of sacrifice in love, while attachment only brings misery. In the name of love, if you fall into an infatuation or attachment, then you will only get misery. But in true love, even sacrifice brings contentment. Love brings sacrifice and contentment, while attachment and feverishness can only bring misery.
"
"Q: 

 How to be in a relationship without depending on the other, and without feeling possessive?
","
Sri Sri Ravi Shankar:
Know that love is your nature and relax. By your very nature you are loving. Give the person whom you love their freedom, their space. When you love somebody, you almost want to suffocate them. You want to police them from morning till night. It may sound very difficult to not do this, but that is the wisest thing to do. Don’t police the person you love a lot.
"
"Q: 

 What is Love?
","
Sri Sri Ravi Shankar:
 If there is one substances by which everything is held together and you want to give it a name, you can call it love. It is the basis of all existence. All the cells in your body love each other, that is why they are together. The day they stop loving each other, it all disintegrates.   Love is not all wiggly wiggly and mushy mushy, ""Oh I can’t live without you, I love you so much"", and so on. It is not that. That is just an emotional something. Love means (silence)… that is it.  Love is indescribable. You can’t describe it. And there is not a creature on this planet which doesn’t know it. From the sea to the fishes, from a chicken to an enlightened person, everybody has experienced love. Love for life is what we think it is, but life itself is love. So see through this knowledge that this whole universe is love.
"
"Q: 

 How do we deal with the anger I have towards my spouse, especially when we both are at completely different frequencies?
","
Sri Sri Ravi Shankar:
First realize you are magnanimous. If you believe in your magnanimity and your inner beauty, it will become easier for you to handle all such situations. When you don’t look within, when you are simply focusing on the behavior of others, it will definitely rattle your mind. Then you try to correct the other person and you will be unsuccessful.  People who irritate you, in some way or the other can bring about the best in you. They can bring out the talents and skills in you. See, when everyone around you is wonderful you don’t need any skill to handle a situation. It will only happen when there are people whom you think are unreasonable. So take it as an exercise as much as possible. I know it is not an easy job, but at least you save your mind.
"
"Q: 

 My wife always complains that I do not tell her ‘I love you’. But it is not in my nature to express love through words. Is it necessary to express love?
","
Sri Sri Ravi Shankar:
 See, there are different ways of saying and expressing love. Just find a way that suits you and say it. If you cannot say it in words, then express it by making some hand gestures. Or you can write it and give it to her. You can send her a text message. Nowadays you do not even have to write complete words in the text message. Just sending those emoticons does the job! So just send those to her, one in the morning, one in the afternoon and one in the evening.  See, it is our duty to try and keep everyone happy. Whether they choose to be happy or not is up to them. Some people will not believe it, even if you express. After receiving your text they might ask, ""Do you really mean what you sent?"" The mind is really very mysterious. Love is said to be Anirvachaniya (that which is beyond words, or cannot be expressed completely through words). You go ahead and do it!
"
"Q: 

 Isn't sex created by God?
","
Sri Sri Ravi Shankar:
God has put these tendencies in our lives for us to rise above them. Without this there is nothing else in life to do. We have also been given the wisdom and the tools to rise above them. So the solution has been given first and then the problem. We need to fit the right solution to the problem. If we don’t see the solution but remain caught up in the problem, then that is ignorance.
"
"Q: 

 Is there true love in this world? Most of the times love seems to be conditional, or out of convenience.
","
Sri Sri Ravi Shankar:
 Do you love others unconditionally? Ask yourself this! Do not judge other people’s love for you. Suppose you find that someone’s love for you is conditional, don’t ask them, “Do you really love me? How much do you love me? Will you continue to love me all your life?”  Don’t ask these silly questions. Take it for granted that the other person loves you. If you find that their love is a little less, ask them, “Why do you love me so much?” instead of saying ""You don’t love me"".  Demand destroys love, so you should not demand love. Whether it is father-son, mother-daughter, husband-wife, wherever the demand comes, love starts reducing. So from your side, you be unconditional to your partner or your parents and say, “I am here for you. What is it that you want, I am here”.
"
"Q: 

 You have told us how to be in a relationship. Please tell us, how to come out of the relationship?
","
Sri Sri Ravi Shankar:
You have already come out of it! When you want to come out of it, it is already done, isn't it? The main thing is to relate yourself to the divinity. If you have a relationship with the divine, you have a relationship with everyone. Then the question of establishing or breaking a relationship with anyone does not arise.     In attempting to break also, one may get stuck badly. The more the mind tries to break away the more it gets pulled towards the relationship, and experiences pain. You neither want to stay nor leave. In leaving one feels as though some comfort is being lost, and in staying, the pain gets too intense and it is hard to stay on. So it is better to secure a relationship with the divine. This way, relationships with everyone else are automatically established.
"
